Date,Open,High,Low,Close,Volume
2012-11-08,1394.53,1401.23,1377.51,1377.51,2099733333
2012-11-09,1377.55,1391.39,1373.03,1379.85,2026305556
2012-11-12,1379.86,1384.87,1377.19,1380.03,1426411111
2012-11-13,1380.03,1388.81,1371.39,1374.53,1919750000
2012-11-14,1374.64,1380.13,1352.5,1355.49,2283061111
2012-11-15,1355.41,1360.62,1348.05,1353.33,2182705556
2012-11-16,1353.36,1362.03,1343.35,1359.88,2247727778
2012-11-19,1359.88,1386.89,1359.88,1386.89,1874888889
2012-11-20,1386.82,1389.77,1377.04,1387.81,1781755556
2012-11-21,1387.79,1391.25,1386.39,1391.03,1481716667
2012-11-23,1391.03,1409.16,1391.03,1409.15,836088889
2012-11-26,1409.15,1409.15,1397.68,1406.29,1638311111
2012-11-27,1406.29,1409.01,1398.03,1398.94,1846177778
2012-11-28,1398.77,1410.31,1385.43,1409.93,1866250000
2012-11-29,1409.96,1419.7,1409.04,1415.95,1864916667
2012-11-30,1415.95,1418.86,1411.63,1416.18,2203333333
2012-12-03,1416.34,1423.73,1408.46,1409.46,1707933333
2012-12-04,1409.46,1413.14,1403.65,1407.05,1804283333
2012-12-05,1407.05,1415.56,1398.23,1409.28,2363288889
2012-12-06,1409.43,1413.95,1405.93,1413.94,1794277778
2012-12-07,1413.95,1420.34,1410.9,1418.07,1736200000
2012-12-10,1418.07,1421.64,1415.64,1418.55,1666350000
2012-12-11,1418.55,1434.27,1418.55,1427.84,2027905556
2012-12-12,1427.84,1438.59,1426.76,1428.48,2060583333
2012-12-13,1428.48,1431.36,1416,1419.45,1861088889
2012-12-14,1419.45,1419.45,1411.88,1413.58,1783427778
2012-12-17,1413.54,1430.67,1413.54,1430.36,1919783333
2012-12-18,1430.47,1448,1430.47,1446.79,2390133333
2012-12-19,1446.79,1447.75,1435.8,1435.81,2149888889
2012-12-20,1435.81,1443.7,1432.82,1443.69,2048100000
2012-12-21,1443.67,1443.67,1422.58,1430.15,2905088889
2012-12-24,1430.15,1430.15,1424.66,1426.66,693866667
2012-12-26,1426.66,1429.42,1416.43,1419.83,1269461111
2012-12-27,1419.83,1422.8,1401.8,1418.1,1572322222
2012-12-28,1418.1,1418.1,1401.58,1402.43,1348155556
2012-12-31,1402.43,1426.74,1398.11,1426.19,1780183333
2013-01-02,1426.19,1462.43,1426.19,1462.42,2334777778
2013-01-03,1462.42,1465.47,1455.53,1459.37,2127627778
2013-01-04,1459.37,1467.94,1458.99,1466.47,1902383333
2013-01-07,1466.47,1466.47,1456.62,1461.89,1836094444
2013-01-08,1461.89,1461.89,1451.64,1457.15,2000888889
2013-01-09,1457.15,1464.73,1457.15,1461.02,2041327778
2013-01-10,1461.02,1472.3,1461.02,1472.12,2267688889
2013-01-11,1472.12,1472.75,1467.58,1472.05,1855916667
2013-01-14,1472.05,1472.05,1465.69,1470.68,1668338889
